Cold Tongue Index (C*100, 6N-6S,180-90W SST anomaly minus global mean)
    1 -999
 1845 2010
Cold Tongue Index (C*100, 6N-6S,180-90W SST anomaly minus global mean)
http://jisao.washington.edu/enso/; -999 for missing, ICOADS data
values * 100; 1950-79 climatology.
 1845 2011    1
       jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
 1882  -25  -45   42   33   39  -12  -70  -45   23  -52  -48  -63
 1883  -62  -27   79   81  116    4   18   -1   21   14   82  -32
 1884  -52   -1    8  -11  133  100   36   30  102   92  149  106
 1885   88   62   21   27   57   81   17    7  111  123  133   68
 1886  101  -16  -55  -22    3  -71  -55  -74  -16  -57  -66  -95
 1887  -52  -93    6    5    3  -21   -1   30   87    2   48   17
 1888  118   81   86   78  109   93   97   90  168  180  218  195
 1889  248  189   63   48   70   32  -21  -61 -156 -101 -151  -72
 1890  -43   28  -95    2   -2  -32  -27  -22   -1    5  -74   38
 1891   46   30   14   97   68   79   43  104  -25   40   68    3
 1892   14   -3   -1  -28  -22  -50 -999  -25  -95 -109  -98  -82
 1893  -90 -122  -82  -43  -57  -23  -27  -54  -54  -31  -40  -48
 1894  -44   29  -46  -39   18  -14   64   -8   -1  -50    9  -46
 1895   -7  -58   17   26   48   76   33   48   96   87  119   85
 1896   84   20   58   34   39   53  141  155  109  133  186  200
 1897  169  153   64  -43   -7   27   75  -30   21  -11  -17  -48
 1898    7  -54  -58  -32   -1  -24  -26  -64   -4  -27  -43  -52
 1899  -37  -15  -68   21   11   24   42   88  110  132  178  166
 1900  147  150  103   72   98   91   84   51   16   84   20   55
 1901   59   29    1   38   10   18  -50  -19   26   24   45   24
 1902   52   62   68   77   94  111  212  175  177  205  217  188
 1903  189  157  117   35   49    8  -31  -54  -27  -12  -45  -67
 1904    1   20   42    2   21   74  125  138   75  144  132  146
 1905  167  116  147  129  185  189  133  137  194  164  138  118
 1906  144   68   34   73   25  -26  -37  -98  -36  -57  -78  -16
 1907  -20  -43  -57   -5   28   42   92   22   93   34   61   55
 1908  -13   73   18  -13   -1  -52  -59   -1  -84  -35  -59  -65
 1909  -46 -106  -11  -22  -66  -51  -26  -95  -49  -95  -95 -127
 1910  -71  -33  -91 -113  -44  -40  -16  -60  -49   -7  -48  -19
 1911  -48  -61  -49  -32   52   37  118  123  131  133  181  225
 1912  165  115   93  113   46  -14   18  -34   40   24   -7   -5
 1913   -7   29   28    6    3   52   51   37   62   54   91  130
 1914  125   74   73   91   61   37   78   72  166   84  131   70
 1915   67  118  102   50  120  101  -76  128   -3  -63  -66  -53
 1916   10   49  -35   53    5  -11  -82 -155  -76 -149  -97  -75
 1917  -80   26  -25   40    0   34  -41 -999   55    0 -155  -69
 1918   22  -45   12  -30   62   94  103  116  133   99  226  233
 1919  126  180   49   33   78   52   18   19   84   38   32  105
 1920   82  -87   96   18   96   92   31   -9   51   13   -5    0
 1921    6   32  -56   -3  -41   -5    2  -27   44    2  -20   29
 1922  -40    9   22   32   38  -41   -9  -29  -11  -72  -42   -2
 1923  -25  -38   21   24   53   56   64   61  107   95  105   87
 1924   47   43   43  -13  -30  -18  -55  -64  -69  -55  -60  -45
 1925  -54  -36    1    2   10   46   60   81   87   80  131  119
 1926  125   93   88   89   84   12   50    3  -15  -45  -36  -42
 1927   26   38  -36  -39   19    4  -19   17   33   50   25   47
 1928   33   19   12   27   39  -29   14    7   14    0    7   17
 1929  -28  -12   36   31   39   52   29   33   66   50   54   39
 1930   48   40   35   54   54   26   86   80  120  123  166  162
 1931  170  106   96   93   59   24   20   15  -28  -46  -42  -46
 1932   -8   25   62   33   99   57   17   15   23    7    7    9
 1933   -1   36   -8   12  -36  -43  -63  -68  -38 -102  -76  -86
 1934  -51  -43  -21   18   13   -8   -6   20    6  -15    1  -50
 1935  -63  -51   -3  -25  -17   -4  -15   31   29   29   24    6
 1936   32   30   25   46   26  -21  -24  -16   11   20   -8   -6
 1937  -31  -22   -2   21   -3   17    7   -6    4  -15   18  -12
 1938  -56   -9  -58  -69  -60  -92 -109  -61  -87   -7  -77  -40
 1939   -6   17  -39   77   39   54   73   67   60  -37   -3   27
 1940  104   98   84   -5   81   55   50   23   53   50   80  119
 1941  120  122  102  108  109  116  110   66   50   52   83   93
 1942   95   61   26   40    2    3  -38  -87 -120  -90 -123 -115
 1943 -129 -116 -100  -80  -62  -10   -7   12    0  -68  -58  -47
 1944  -47  -23  -12   23   21    1   24   19   26  -44  -36  -33
 1945  -57  -43 -108 -131  -29 -999  -77  -31  -28  -38  -33   30
 1946 -999   14  -24   28   50  -49  -52  -65   44  -33  -28   48
 1947   45   35   27   35   47   47  -25  -21  -25  -43  -22   -7
 1948   38   39   58   52   39  -32  -70  -22  -35  -46   -1   16
 1949  -65   44   -1   62   30  -26  -21  -42  -82 -108 -129  -57
 1950 -119 -131  -44  -67  -74  -51 -103  -54  -88  -87 -101  -30
 1951  -38  -41  -24   58   60    4  142  120   71  115  154  109
 1952   64   22   -9   35   -3  -41  -42  -48  -31  -30  -47  -26
 1953   39   34   50   95   72   56   50   15   92   26   50   15
 1954  -10   -1   14  -81  -95  -99 -104  -95  -96 -108  -81  -87
 1955  -25   17  -46  -47  -85  -87  -96  -66 -109 -137 -183 -148
 1956 -114  -53  -40  -10  -20   -7  -24  -50  -47  -43  -68  -57
 1957  -55   -2   39   66  102  124  149  118  108   82  120  126
 1958  136  118   87   36   22   44   35   19  -21    3    8    2
 1959    5    9   43   46   22  -12  -23  -23  -22   41    9    9
 1960    2   -6   18   10    4  -17  -23  -13   18  -28  -53  -27
 1961   -3   50    6  -12   -7   19  -34  -41  -76 -101  -25  -25
 1962  -13    8  -25  -81  -46  -17  -28  -27  -31  -33  -48  -69
 1963  -35  -28   13   10   13   26   63   78   74   71   84   91
 1964   72   16  -15  -62 -102 -108  -45  -59  -40  -50  -62  -77
 1965  -11   11   33   52  109  132  130  160  146  153  153  140
 1966  126   78   35    1  -19  -14   11   -7  -25   -2  -48  -54
 1967  -39  -20  -28  -22   15   31  -19  -93  -84  -69  -54  -50
 1968  -73  -82  -82  -45  -47   -5   30   48   42   44   58   74
 1969   75   40   41   52  103   71   27   67   69   92   92  112
 1970   69   21  -14    4  -30  -71 -118  -90  -71  -63 -101  -71
 1971 -110  -79  -58  -38  -31  -33  -37  -64  -41  -58  -57  -74
 1972  -17  -12   14   62   89  108  161  177  158  189  191  214
 1973  163   52   20  -41  -53  -72 -112 -107  -82  -83  -80 -107
 1974 -106  -77  -58  -12  -20   12   -1    6   -4  -64  -58  -65
 1975  -21  -35  -15   12  -26  -69  -61  -64  -76  -78  -79 -122
 1976 -100  -30  -11    4   48   86   84  133  110  117  109   68
 1977   94   54   44  -22   -3    5   21    0   11   41   50   60
 1978   57   51   -4  -35  -36  -47  -41  -65  -19    6    8   33
 1979  -13   17   14   30   38   35    7   23   66   55   59   36
 1980   39   22   22   17   46   57    0   -5   22   -7   35   40
 1981  -60  -56  -22  -34   -7   -2  -38  -48   10  -12  -27   24
 1982   31   -6   11   31   74  100   77  106  171  183  243  269
 1983  225  167  147  134  196  153  108   89   78  -15  -41  -64
 1984  -28   -5    2  -30  -49  -89  -25  -18  -10  -76  -41  -77
 1985  -67  -72  -71  -57  -72  -58  -57  -26  -53  -39  -42  -41
 1986  -50  -12  -11  -16  -26  -19   21   26   41   20   95   89
 1987  123  117  105  110  124  117  127  134  157  123  102   94
 1988   39   19   -8  -46 -125 -156 -135  -94  -57 -104 -106 -108
 1989  -85  -55  -81  -67  -33  -17  -58  -32  -15  -18  -27  -29
 1990  -13   13    3  -15   29   -1   -1   23   17   18   -2  -16
 1991   19    2    2   -1   50   82   66   56   46   97  112  139
 1992  151  143  109  109  111   48   34   11   18   -4   14   24
 1993   23   39   50   85  102   92   70   60   80   76   69   44
 1994   25   -2   -4  -10   16   29   11   41   62   88  108   92
 1995   77   65   10  -14  -26  -13  -27  -45  -50  -63  -76  -68
 1996  -54  -66  -51  -64  -44  -41  -24  -32  -35  -39  -40  -71
 1997  -44  -29   -8   34   96  115  163  196  222  219  253  235
 1998  216  161  121   73   57  -26  -74  -68  -56 -105 -128 -159
 1999 -157 -122  -90 -100  -69  -76  -76  -95  -74  -98 -132 -150
 2000 -151 -123  -81  -43  -46  -58  -52  -50  -40  -61  -70  -83
 2001  -69  -64  -41  -28  -29  -16   -7  -18  -11  -25  -32  -49
 2002  -16   -1   -2    4   21   55   55   64   95   90  128  106
 2003   82   47   29  -26  -62  -46  -15  -22    2   19   21   24
 2004   18   -4  -23  -25   -3   -5   11   29   52   45   56   49
 2005   67   38   17   -3    9   -4  -10  -14   -8  -14  -57  -85
 2006  -65  -46  -51  -27   -2   -4   -1   31   61   62   94   93
 2007   55   15   -7  -25  -30  -36  -45  -50  -72 -121 -137 -119
 2008 -157 -128  -98  -86  -58  -53  -14   -6  -24  -35  -37  -75
 2009  -59  -61  -54  -15   23   17   30   39   67   66  103  119
 2010  111   85   58   30  -11  -57  -87 -115 -126 -152 -139 -162
 2011 -155 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
